Title,Year,Runtime,Actors,IMDB Rating,Metascore,IMDB Votes,Box Office,Description,Tagline,Budget,Revenue,TMDB Rating,Vote Count,Month,Day,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Approved,G,GP,M,M/PG,NC-17,Not Rated,PG,PG-13,R,TV-MA,Unrated,Top_Production_Company,Top_Director,Top_Writer,Domestic,International,English_Language,Other_Language,Oscars_Won,Oscars_Nominated,Wins,Nominations
Munich,2006,164,"Eric Bana, Daniel Craig, Marie-Josée Croze",7.5,74.0,247628,47403685.0,"After Black September's assassination of Israeli athletes at the Munich Olympics in 1972, Prime Minister Golda Meir okays a covert operation to hunt down and kill all involved. A team of five gathers in Switzerland led by Avner, a low-level Mossad techie whose father was a war hero and whose wife is pregnant. It's an expendable team, but relying on paid informants, they track and kill several in Europe and Lebanon. They must constantly look over their shoulders for the CIA, KGB, PLO, and their own sources. As the body count mounts -- with retribution following retribution -- so do questions, doubts, and sleepless nights. Loyalties blur. What does it mean to be a Jew?",The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.,70000000,130982129,7.14,2776,1,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,5,14,75
The Favourite,2018,119,"Olivia Colman, Emma Stone, Rachel Weisz",7.5,91.0,247322,34366783.0,"Early 18th century. England is at war with the French. Nevertheless, duck racing and pineapple eating are thriving. A frail Queen Anne (Olivia Colman) occupies the throne and her close friend Lady Sarah (Rachel Weisz) governs the country in her stead while tending to Anne's ill health and mercurial temper. When a new servant Abigail (Emma Stone) arrives, her charm endears her to Sarah. Sarah takes Abigail under her wing and Abigail sees a chance at a return to her aristocratic roots. As the politics of war become quite time consuming for Sarah, Abigail steps into the breach to fill in as the Queen's companion. Their burgeoning friendship gives her a chance to fulfill her ambitions and she will not let woman, man, politics or rabbit stand in her way.",It’s fun to be Queen sometimes,15000000,95918706,7.503,5643,12,21,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,188,358
A Good Year,2006,117,"Russell Crowe, Abbie Cornish, Albert Finney",6.9,47.0,103460,7459300.0,"After years of no contact with his Uncle Henry, London banker and bond trader Max Skinner learns that Henry has died intestate, so Max inherits a château and vineyard in Provence. Max spent part of his childhood there, learning maxims and how to win and lose, and honing his killer instinct (at chess, which serves him well in finance). Max goes to France intent on selling the property. He spends a few days there, getting the property ready to show. Memories, a beautiful woman, and a young American who says she's Henry's illegitimate daughter interrupt his plans. Did Max the boy know things that Max the man has forgotten?",Everything matures... eventually.,35000000,42064105,6.669,1541,11,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,2
Urban Cowboy,1980,132,"John Travolta, Debra Winger, Scott Glenn",6.5,61.0,17425,46918287.0,"Bud Davis is a country boy who moves to the city to visit his uncle and his family. He starts hanging out at Gilley's, the popular nightclub owned by Mickey Gilley himself. He takes a job at the oil refinery where his uncle works, hoping to save enough money to buy some land. He also meets a cowgirl named Sissy, they dance together, fall in love and suddenly get married. And then their marriage is shattered when Bud sees Sissy allegedly seeing con man Wes, who teaches her how to ride the mechanical bull... and plans to rob Gilley's. When a bull-riding contest at Gilley's is announced, Bud decides to sign up. Can he win the contest and save his marriage to Sissy?",Hard Hat Days And Honky-Tonk Nights.,10000000,53300000,6.452,262,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,7
Big Daddy,1999,93,"Adam Sandler, Joey Lauren Adams, Jon Stewart",6.4,42.0,243918,163479795.0,"Sonny Koufax is 32 years old. He's a law school graduate. He's got a nice apartment in Manhattan. There's just one problem. He does nothing, except sit on his butt and live off an investment that was the result of a meager lawsuit he won a year ago. But after his fed up girlfriend leaves him, he comes up with the ingenious idea to adopt a five year old boy to showcase his newfound maturity. But things don't go as planned, and Sonny finds himself the unlikely foster father that will change his perspective on just looking out for himself.",Nature called. Look who answered.,34200000,234801895,6.488,3365,6,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,8,14
Talladega Nights: The Ballad of Ricky Bobby,2006,108,"Will Ferrell, John C. Reilly, Sacha Baron Cohen",6.6,66.0,208524,148213377.0,"NASCAR stock car racing sensation Ricky Bobby is a national hero because of his ""win at all costs"" approach. He and his loyal racing partner, childhood friend Cal Naughton Jr., are a fearless duo -- ""Shake"" and ""Bake"" by their fans for their ability to finish so many races in the #1 and #2 positions, with Cal always in second place. When flamboyant French Formula One driver Jean Girard challenges ""Shake"" and ""Bake"" for the supremacy of NASCAR, Ricky Bobby must face his own demons and fight Girard for the right to be known as racing's top driver.",The story of a man who could only count to #1.,72500000,163000000,6.365,1757,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,8,9
Hanna,2011,111,"Saoirse Ronan, Cate Blanchett, Eric Bana",6.7,65.0,211481,40259119.0,"Hanna (Saoirse Ronan) is a teenage girl. Uniquely, she has the strength, the stamina, and the skills of a soldier. These come from being raised by her father, Erik Heller (Eric Bana), an ex-C.I.A. man, in the wilds of Finland. Living a life unlike any other teenager, her upbringing and training have been one and the same, all geared to making her the perfect assassin. The turning point in her adolescence is a sharp one; sent into the world by her father on a mission, Hanna journeys stealthily across Europe while eluding agents dispatched after her by ruthless intelligence operative, Marissa Wiegler (Cate Blanchett), who has secrets of her own. As she nears her ultimate target, Hanna faces startling revelations about her existence and unexpected questions about her humanity.",Adapt or die.,30000000,63782078,6.59,3467,4,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,8,26
The Little Mermaid,1989,83,"Jodi Benson, Samuel E. Wright, Rene Auberjonois",7.6,88.0,303917,111543479.0,"In Disney's beguiling animated romp, rebellious 16-year-old mermaid Ariel is fascinated with life on land. On one of her visits to the surface, which are forbidden by her controlling father, King Triton, she falls for a human prince. Determined to be with her new love, Ariel makes a dangerous deal with the sea witch Ursula to become human for three days. But when plans go awry for the star-crossed lovers, the king must make the ultimate sacrifice for his daughter.","Watch and you'll see, some day I'll be, part of your world!",297000000,569626289,6.311,3099,11,17,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,16,9
"New York, I Love You",2009,103,"Shia LaBeouf, Natalie Portman, Bradley Cooper",6.2,49.0,49221,1588015.0,"Eleven vignettes, all homages to New York City life, are presented. I. Ben (Hayden Christensen), a pickpocket, is attracted to Molly (Rachel Bilson) at first sight, and gets into an interesting ""pissing match"" with Molly's married lover, New York University professor Garry (Andy Garcia). II. Mansuhkhbai (Irrfan Khan), an orthodox Jain diamond wholesaler, and Rifka (Natalie Portman), an orthodox Jewish diamond retailer who is getting married tomorrow, learn that they have more in common than just diamonds. III. David (Orlando Bloom), a musician and music editor for a video being directed by Abarra, is having problems meeting Abarra's demands while he slowly falls for Abarra's assistant, Camille (Christina Ricci), who he's never met, but has only talked to on the telephone solely about work. IV. A young man believes he's made a powerful connection to a stranger, a young woman, in the simple act of lighting her cigarette, and proceeds to convince her of the same and as such that there is a future for them from that point on, and not at some unspecified time down the road. V. A high school senior, who has been dumped by his girlfriend just before senior prom, is given a gift by his local pharmacist, Mr. Riccoli (James Caan), the senior not understanding the full implication of the gift until the full process of prom night is over. VI. Each on their way to their first official date together after what started out solely as a one night stand, Gus (Bradley Cooper) and Lydia (Drea de Matteo) each contemplate not keeping the date. VII. Isabelle (Julie Christie), a retired opera diva, has returned to a hotel where she's stayed many times and where she has strong memories of encounters with a young bellhop. VIII. Brown-skinned Dante (Carlos Acosta) and white-skinned young adolescent Teya (Taylor Geare) spend time together in a park, most outsiders see a manny and his charge, not realizing the true nature of Dante and Teya's relationship. IX. In questioning why one of her elderly Eastern European customers chose her as the wanted subject for his next painting, a young Chinese herbalist may be inspired to create some art of her own. X. Anna (Robin Wright), who meets Alex (Chris Cooper) by chance on the street each going about their individual business, asks him a question, she having an ulterior motive while expecting a totally different reaction from him contrary to her motive... maybe. XI. Abe (Eli Wallach) and Mitzie (Cloris Leachman) are spending their 63rd Wedding Anniversary together, not always harmoniously. Interspersed between these eleven vignettes are even shorter ones, often tying together to another or to one of the eleven primary ones in some manner.",Every moment... love begins.,14700000,14600000,5.952,554,10,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
Pain & Gain,2013,129,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie",6.4,45.0,237023,49875291.0,"Based on the true story of Daniel Lugo (Mark Wahlberg) a Miami bodybuilder who wants to live the American dream. He would like to have the money that other people have. So he enlists the help of fellow bodybuilder Adrian Doorbal (Anthony Mackie) and ex-convict, Christian bodybuilder Paul Doyle (Dwayne Johnson). Their kidnapping and extortion scheme goes terribly wrong since they have muscles for brains and they're left to haphazardly try to hold onto the elusive American dream.",Their American dream is bigger than yours.,25000000,87305549,6.277,4587,4,26,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,4
