Title,Year,Runtime,Actors,IMDB Rating,Metascore,IMDB Votes,Box Office,Description,Tagline,Budget,Revenue,TMDB Rating,Vote Count,Month,Day,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Approved,G,GP,M,M/PG,NC-17,Not Rated,PG,PG-13,R,TV-MA,Unrated,Top_Production_Company,Top_Director,Top_Writer,Domestic,International,English_Language,Other_Language,Oscars_Won,Oscars_Nominated,Wins,Nominations
Four Brothers,2005,109,"Mark Wahlberg, Tyrese Gibson, André 3000",6.8,49.0,164844,74494381.0,"Four adopted brothers come to avenge their mother's death in what appears to be a random killing in a grocery store robbery. However, the boys' investigation of the death reveals more nefarious activities involving the one brother's business dealings with a notorious local hoodlum. Two cops who are trying to solve the case may also not be what they seem.",They came home to bury mom... and her killer,45000000,92374674,6.8,2243,7,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,5,9
The Adventures of Tintin,2011,107,"Jamie Bell, Andy Serkis, Daniel Craig",7.3,68.0,249784,77591831.0,"Having bought a model ship, the Unicorn, for a pound off a market stall Tintin is initially puzzled that the sinister Mr. Sakharine should be so eager to buy it from him, resorting to murder and kidnapping Tintin - accompanied by his marvellous dog Snowy - to join him and his gang as they sail to Morocco on an old cargo ship. Sakharine has bribed the crew to revolt against the ship's master, drunken Captain Haddock, but Tintin, Snowy and Haddock escape, arriving in Morocco at the court of a sheikh, who also has a model of the Unicorn. Haddock tells Tintin that over three hundred years earlier his ancestor Sir Francis Haddock was forced to scuttle the original Unicorn when attacked by a piratical forebear of Sakharine but he managed to save his treasure and provide clues to its location in three separate scrolls, all of which were secreted in models of the Unicorn. Tintin and Sakharine have one each and the villain intends to use the glass-shattering top Cs of operatic soprano the Milanese Nightingale to secure the third. With aid from bumbling Interpol agents the Thompson Twins our boy hero, his dog and the captain must prevent Sakharine from obtaining all three scrolls to fulfil the prophesy that only the last of the Haddocks can discover the treasure's whereabouts.",Discover how far adventure will take you.,130000000,373993951,6.905,5539,12,21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,22,63
Green Lantern,2011,114,"Ryan Reynolds, Blake Lively, Peter Sarsgaard",5.5,39.0,304201,116601172.0,"In a mysterious universe, the Green Lantern Corps, an elite defense force of peace and justice have existed for centuries. Reckless test pilot Hal Jordan acquires superhuman powers when he is chosen by the Ring, the willpower-fed source of power. Reluctantly at first, he takes on the challenge after the death of Abin Sur, the finest Green Lantern. Putting his self-doubts aside, and spurred on by his sense of duty and love for his beautiful, intellectually equal, colleague, Carol Ferris, he is soon called to defend mankind from Parallax, a powerful, evil being who feeds on fear. Hal Jordan is the universe's last chance, as many Green Lanterns have been killed and the Corps is weakened, and he might just be the right Green Lantern for the duty of keeping the world safe from harm.",In brightest day. In blackest night.,200000000,219851172,5.174,7380,6,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,6
The Beastmaster,1982,118,"Marc Singer, Tanya Roberts, Rip Torn",6.2,18.0,26055,14056528.0,"Dar, the son of a king, is hunted by a priest after his birth, he is rescued from a cult ritual by his newly adopted father and taken to be raised in a humble village where he learns he has the ability to communicate with animals. When he becomes a grown man, his new father and village home are murdered by the priests followers. Dar begins his quest for revenge, befriending several animals along the way.","Born with the courage of an eagle, the strength of a black tiger, and the power of a god.",8000000,14056528,6.3,420,8,20,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2
Kong: Skull Island,2017,118,"Tom Hiddleston, Samuel L. Jackson, Brie Larson",6.7,62.0,362341,168052812.0,"A washed up monster chaser convinces the U.S. Government to fund a trip to an unexplored island in the South Pacific. Under the guise of geological research, the team travels to ""Skull Island"". Upon arrival, the group discover that their mission may be complicated by the wildlife which inhabits the island. The beautiful vistas and deadly creatures create a visually stunning experience that is sure to keep your attention.",All hail the king,185000000,566652812,6.547,10723,3,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,22
Tag,2018,100,"Jeremy Renner, Ed Helms, Jake Johnson",6.5,56.0,155889,54730625.0,"Childhood friends Jerry (Jeremy Renner), Callahan (Jon Hamm), Randy (Jake Johnson), Sable (Hannibal Buress) and Hoagie (Ed Helms) have been competing in the same game of tag for 30 years. When Jerry gets married, he attempts to retire from the intense annual game without ever being ""it,"" causing the other four to band together and go to extreme lengths to finally tag him. Directed by Jeff Tomsic. Inspired by the Wall Street Journal article ""It Takes Planning, Caution to Avoid Being It.""","We don't stop playing because we grow old, we grow old because we stop playing.",28000000,75100000,6.71,3252,6,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,3
Big Fat Liar,2002,88,"Frankie Muniz, Amanda Bynes, Paul Giamatti",5.5,36.0,41927,48360547.0,"This is the story of a 14-year-old boy named Jason Shepherd who lies for the fun of it. He leaves an important essay entitled ""Big Fat Liar"" in movie producer Marty Wolf's limo, which he then turns into a film. When Jason sees a movie preview of it he and his best friend, Kaylee, travel to Los Angeles to make Marty confess to using it to clear his name and get him out of having to attend summer school. Jason then has to match wits with Marty, who also turns out to be a big liar.",Two friends are about to cut one Hollywood big shot down to size.,15000000,52970014,5.863,844,2,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3
The Chronicles of Narnia: Prince Caspian,2008,150,"Ben Barnes, Skandar Keynes, Georgie Henley",6.5,62.0,233863,141621490.0,"A year has passed by since the Pevensie children stepped through the wardrobe. In Narnia, centuries have passed since the defeat of the White Witch. Now the foursome are sent back to Narnia to find that everything was destroyed and the Narnia they once knew is gone forever. They come to aid the young Prince Caspian, who is leading a group of Old Narnians to wage war against his malicious uncle Miraz, who rules Narnia with an iron fist. Will they succeed? When will Aslan return?",Everything you know is about to change forever.,225000000,419665568,6.62,6516,5,16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,4,21
Horrible Bosses,2011,98,"Jason Bateman, Charlie Day, Jason Sudeikis",6.9,57.0,479719,117538559.0,"Nick hates his boss, mostly because he's expected to work from before sunrise to after sunset and his boss, Mr. Harken, calls him out for being a minute late and blackmails him so he can't quit. Dale hates his boss, Dr. Julia Harris, because she makes unwelcome sexual advances when he's about to get married. But Dale is on that pesky list of child-offenders so he can't quit. Kurt actually likes his job and his boss--well, up until his boss dies and the boss's coked-out, psychopathic son takes over. But who would be crazy enough to quit their jobs in such poor economic times? Instead, Nick, Dale, and Kurt drunkenly and hypothetically discuss how to kill their bosses, and before they know it, they've hired a murder consultant to help them pull off the three deeds.",Ever wish your boss was dead?,35000000,209838559,6.572,6492,7,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3,14
Nacho Libre,2006,92,"Jack Black, Ana de la Reguera, Héctor Jiménez",5.9,52.0,98480,80197993.0,"Nacho (Black) is a monastery cook, who spends his day feeding orphans and being overlooked by the monastery. When Sister Encarnación (Reguera) arrive at the monastery, Nacho realises that the only way to win her affection and to save the children, will be by competing as a Luchador wrestler.",He's nacho average hero.,35000000,99255460,6.51,1727,6,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,11
Star Trek Into Darkness,2013,132,"Chris Pine, Zachary Quinto, Zoe Saldaña",7.7,72.0,504628,228778661.0,"When the USS Enterprise crew is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis. With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction. As our space heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.","Beyond the darkness, lies greatness.",190000000,467381584,7.32,9298,5,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,7,58
Maleficent: Mistress of Evil,2019,119,"Angelina Jolie, Elle Fanning, Harris Dickinson",6.6,43.0,127081,113929605.0,"Five peaceful years have passed since the demise of the duplicitous monarch, King Stefan, in Maleficent (2014), and now, an unforeseen but joyous event is about to unite the mortal kingdom of Ulstead and the fairy-realm of the enchanted Moors. However, once more, odious treason stands in the way of true young love, as malicious envy, unbounded ambition and ignoble thoughts creep in the hearts of men. Now, two neighboring worlds find themselves divided by fear and prejudice, and, sadly, the impending union paves the way for an all-out confrontation. Suddenly, the magnificent winged sprite, Maleficent, and the lovely Princess Aurora are caught in the middle. Does love always end well?",Go beyond the fairy tale.,185000000,491730089,7.302,6251,10,18,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,11
The Bad Guys,2022,100,"Sam Rockwell, Marc Maron, Awkwafina",6.8,64.0,68790,97459240.0,"After a lifetime of legendary heists, notorious criminals Mr. Wolf, Mr. Snake, Mr. Piranha, Mr. Shark and Ms. Tarantula are finally caught. To avoid a prison sentence, the animal outlaws must pull off their most challenging con yet -- becoming model citizens. Under the tutelage of their mentor, Professor Marmalade, the dubious gang sets out to fool the world that they're turning good.",Good is no fun at all.,80000000,250162278,7.545,2200,4,22,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,30
48 Hrs.,1982,96,"Nick Nolte, Eddie Murphy, Annette O'Toole",6.9,71.0,90372,78868508.0,"Oddball cop and tough guy, Jack Cates is the only survivor of a cop shooting and in hunting down the murderer collects Reggie Hammond from jail for 48 hours. Hammond is oddly motivated to help. The killer is searching for his stash of cash. Cates and Hammond who have the Black-white, cop-crook thing to work out make surprisingly good partners as they navigate through the city looking for their suspect.",One cop. One con. No mercy.,12000000,78868508,6.686,1576,12,8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3,2
The Living Daylights,1987,130,"Timothy Dalton, Maryam d'Abo, Jeroen Krabbé",6.7,59.0,110287,51185897.0,"James Bond 007's mission is to firstly, organise the defection of a top Soviet general. When the general is re-captured, Bond heads off to find why an ally of General Koskov was sent to murder him. Bond's mission continues to take him to Afghanistan, where he must confront an arms dealer known as Brad Whitaker. Everything eventually reveals its self to Bond.",The new James Bond...living on the edge.,40000000,191185897,6.528,1863,7,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,3,7
Carlito's Way,1993,144,"Al Pacino, Sean Penn, Penelope Ann Miller",7.9,66.0,241373,36948322.0,"A Puerto Rican ex-con pledges to stay away from his former drug dealing ways but finds himself being dragged back by his past connections and the naive machinations of his lawyer and best friend. Hoping to raise enough money to get away from New York, Carlito Brigante takes on the job of running a nightclub, renews an affair with a dancer but old associates and old instincts suck him back into a world of violence and mistrust.",He's got a good future if he can live past next week.,30000000,63848322,7.833,3282,11,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,9
Heartbreak Ridge,1986,130,"Clint Eastwood, Marsha Mason, Everett McGill",6.8,53.0,50195,42724017.0,"1983. Thomas Highway (Clint Eastwood) is a well-decorated career military man in the United States Marine Corps, he who has seen action in Korea and Vietnam. His current rank is Gunnery Sergeant. His experiences have led him to become an opinionated, no nonsense man, who is prone to bursts of violence, especially when he's drunk, if the situation does not suit him, regardless of the specifics or people involved. Because of these actions, he has spent his fair share of overnighters behind bars. Close to retirement, one of his last assignments, one he requested, is back at his old unit at Cherry Point, North Carolina, from where he was transferred for insubordination and conduct unbecoming. He is to train a reconnaissance platoon. His superior officer, the much younger and combat inexperienced Major Malcolm Powers (Everett McGill), sees Highway as a relic of an old-styled military. Highway's commanding officer, Lieutenant Ring (Boyd Gaines), the platoon leader, is also a younger man who has no combat experience, but is academically inclined and happy-go-lucky. Highway finds that his team is a rag-tag bunch of slackers, who includes wannabe rock musician Corporal Stitch Jones (Mario Van Peebles), with whom Highway had an inauspicious earlier meeting. The men in the platoon, who truly believe Highway is crazy, hate him, and don't understand why they have to follow his harsh training regimen when the United States is not currently at war. The Major, who is all about efficiency regardless of combat readiness, has the same views of Highway. He is clear that he sees Highway's platoon solely as a training mechanism for his own elite squad trained by Highway's nemesis, Staff Sergeant Webster (Moses Gunn). Things for Highway and his platoon change when the United States enters into war in Grenada. Through it all, Highway tries to reconnect with his bar waitress ex-wife Aggie (Marsha Mason), he even clandestinely reading women's magazines to understand her better. Two primary obstacles stand in his way: Roy Jennings (Bo Svenson), Aggie's boss and current suitor who hates Marines, and Aggie's own remembrance of how dysfunctional their marriage was.",...the scars run deep.,15000000,42700000,6.88,1050,12,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,2,1
Species,1995,108,"Natasha Henstridge, Michael Madsen, Ben Kingsley",5.9,49.0,88790,60074103.0,"In 1993, a search for extraterrestrial life, a transmission's received, detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armor-plated killing machine in the blink of an eye. Government agent Xavier Fitch assembles a team of scientists and mercenaries to locate and destroy Sil before she manages to find a mate and breed.","For three million years, the human race has been at the top of the evolutionary ladder. Nothing lasts forever.",35000000,113400000,6.0,1711,7,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3,8
A Cinderella Story,2004,95,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge",5.9,25.0,98256,51438175.0,"Samantha Montgomery (Hilary Duff) or ""Sam"", has a rough childhood with her father dying in an earthquake and a new stepmother with two awful daughters. But on the bright side, Sam has an awesome best friend named Carter (Dan Byrd) and an e-mail relationship with a guy named Nomad. One day, Sam gets an e-mail from her Nomad saying that he wants to meet her in the middle of the dance floor at their high school Halloween dance. She accepts the invitation and glides into the room wearing the best outfit ever. Her Nomad takes her outside where they share a romantic dance together and Sam realizes that her e-mail friend is the most popular guy in school, Austin Ames (Chad Michael Murray). She runs back to her stepmother's diner before she knows she went to the dance and drops her phone on the way. Austin finds it and starts a search for his Cinderella.",Once upon a time... can happen any time.,19000000,70067909,6.578,3270,7,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,6,8
Demolition,2016,101,"Jake Gyllenhaal, Naomi Watts, Chris Cooper",7.0,49.0,123235,1978592.0,"Davis (Jake Gyllenhaal), a successful private equity fund partner, struggles after losing his wife in a tragic car crash. Despite pressure from his father-in-law, Phil (Chris Cooper), to pull it together, Davis continues to unravel. What starts as a complaint letter to a vending machine company turns into a series of letters revealing startling personal admissions. Davis' letters catch the attention of customer service rep, Karen (Naomi Watts), and, amidst emotional and financial burdens of her own, the two form an unlikely connection. With the help of Karen and her son Chris (Judah Lewis), Davis starts to rebuild, beginning with the demolition of the life he once knew.",Life: Some disassembly required.,10000000,4366460,6.823,2318,4,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2
End of Watch,2012,109,"Jake Gyllenhaal, Michael Peña, Anna Kendrick",7.6,68.0,281984,41003371.0,"In South Central Los Angeles, street cops Brian and Mike are partners - balls-out cowboys patrolling the streets as Latino gangs are in a power struggle with Blacks. Brian and Mike get lucky a couple of times, making big drug and human-trafficking busts, so a Mexican cartel orders their deaths. We meet Mike's pregnant wife (whom he married out of high school) and watch Brian's search for a soul mate. There are internal squabbles within the ranks of the LAPD and lots of squad-car conversation. Can the lads escape the cartel's murderous reach?",Every moment of your life they stand watch,7000000,55078146,7.351,3393,9,21,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,10
The Hunchback of Notre Dame,1996,91,"Demi Moore, Jason Alexander, Mary Kay Bergman",7.0,74.0,179425,100138851.0,"In 15th-century Paris, Clopin the puppeteer tells the story of Quasimodo, the misshapen but gentle-souled bell ringer of Notre Dame, who was nearly killed as a baby by Claude Frollo, the Minister of Justice. But Frollo was forced by the Archdeacon of Notre Dame to raise Quasimodo as his own. Now a young man, Quasimodo is hidden from the world by Frollo in the belltower of the cathedral. But during the Festival of Fools, Quasimodo, cheered on by his gargoyle friends Victor, Hugo, and Laverne, decides to take part in the festivities, where he meets the lovely gypsy girl Esmeralda and the handsome soldier Phoebus. The three of them find themselves ranged against Frollo's cruelty and his attempts to destroy the home of the gypsies, the Court of Miracles. And Quasimodo must desperately defend both Esmeralda and the very cathedral of Notre Dame.","He dared to dream, he dared to love.",100000000,325300000,7.117,5147,6,21,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,8,26
Tarzan,1999,88,"Tony Goldwyn, Minnie Driver, Brian Blessed",7.3,80.0,260982,171091819.0,"The movie is about the life of Tarzan. Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",An immortal legend. As you've only imagined.,130000000,448200000,7.4,6996,6,18,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,11,23
Dressed to Kill,1980,104,"Michael Caine, Angie Dickinson, Nancy Allen",7.1,74.0,52818,31899000.0,"While taking a shower, Kate Miller, a middle-aged, sexually frustrated New York City housewife, has a rape fantasy while her husband stands at the sink shaving. Later that day, after complaining to her psychiatrist Dr. Robert Elliott about her husband's pathetic performance in bed, she meets a strange man at a museum and returns to his apartment where they continue an adulterous encounter that began in the taxicab. Before she leaves his apartment, she finds papers which certify that the man has a venereal disease. Panicked, Kate rushes into the elevator, but has to return to his apartment when she realizes she's forgotten her wedding ring. When the elevator doors open, she's brutally slashed to death by a tall blonde woman wearing dark sunglasses. Liz Blake, a high-class call girl, is the only witness to the murder and she becomes the prime suspect and the murderer's next target. Liz is rescued from being killed by Kate's son Peter, who enlists the help of Liz to catch his mother's killer as Detective Marino, who's in charge of the case, is uncooperative in the investigation.",The latest fashion in murder.,6500000,31899000,6.957,1016,7,25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,10
Mandy,2018,121,"Nicolas Cage, Andrea Riseborough, Linus Roache",6.5,83.0,95778,1233694.0,"Taking place in 1983, Red is a lumberjack who lives in a secluded cabin in the woods. His artist girlfriend Mandy spends her days reading fantasy paperbacks. Then one day, she catches the eye of a crazed cult leader, who conjures a group of motorcycle-riding demons to kidnap her. Red, armed with a crossbow and custom Axe, stops at nothing to get her back, leaving a bloody, brutal pile of bodies in his wake.",A BRUTAL JOURNEY TOWARDS THE WILDEST REVENGE.,6000000,1653784,6.192,1996,9,14,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,43
The BFG,2016,117,"Mark Rylance, Ruby Barnhill, Penelope Wilton",6.3,66.0,96806,55483770.0,"Ten-year-old Sophie is in for the adventure of a lifetime when she meets the Big Friendly Giant. Naturally scared at first, the young girl soon realizes that the twenty-four-foot behemoth is actually quite gentle and charming. As their friendship grows, Sophie's presence attracts the unwanted attention of Bloodbottler, Fleshlumpeater, and other giants. After travelling to London, Sophie and the BFG must convince Queen Elizabeth to help them get rid of all of the bad giants once and for all.",The world is more giant than you can imagine.,140000000,195243411,6.282,3469,7,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,4,26
Richard Jewell,2019,131,"Paul Walter Hauser, Sam Rockwell, Brandon Stanley",7.5,68.0,101229,22345542.0,"Based on the true story of Richard Jewell, a security guard who discovered a bomb and saved many lives at a concert at Centennial Olympic Park during the 1996 Summer Olympics in Atlanta, Georgia. He was seen as a hero by many and a suspect by the FBI and press.",The world will know his name and the truth.,45000000,33900000,7.425,2586,12,13,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,6,20
Queen of the Damned,2002,101,"Aaliyah, Stuart Townsend, Marguerite Moreau",5.3,30.0,62468,30336800.0,"After losing interest in immortality, vampire Lestat goes to sleep, awakening after a long time to the sounds of punk rock. Taking up as the leader of an undead band, Lestat gains fame but exposes vampires, drawing the attention of vampire enthusiast Jesse. His music also awakens the queen of the damned, Akasha the first vampire, who decides to make Lestat her king. After learning of her bloodlust, and designs to take over humankind, Lestat teams with the other vampire nobility to take her down. Lestat then turns Jesse into his undead mistress to spend eternity together.",The mother of all vampires.,35000000,45479110,6.1,1097,2,22,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,7
The Bourne Legacy,2012,135,"Jeremy Renner, Rachel Weisz, Edward Norton",6.6,61.0,322486,113203870.0,"When a British reporter was writing an expose about Black Ops operations Treadstone and Black Briar, and the ones responsible for them are concerned. And when Jason Bourne, former Treadstone operative got the file on Treadstone and Black Briar and gave it to Pamela Landy who then passed it to the media. When the men behind Treadstone and Black Briar learn of this, they're concerned how this will affect other ops they have. They decide it's best to shut down all ops and make sure make everyone involved disappears. They try to take out Aaron Cross who is part of another op called Outcome, but he manages to survive. He then seeks out Dr. Marta Shearing who worked on him when he began. It seems part of the program is for all subjects to take medications but he has run out, which is why he seeks her. But someone tries to kill her. He saves her and she tells him, he should have stopped taking the medications long ago. They go to Manila so that she can help him. Later the men behind Outcome learn that Cross and Shearing are still alive. They try to get them.",There Was Never Just One,130000000,276600000,6.234,5834,8,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,12
Double Jeopardy,1999,105,"Ashley Judd, Tommy Lee Jones, Bruce Greenwood",6.5,41.0,99974,116741558.0,When Nick Parsons appears to be murdered his wife Libby is tried and convicted. Six years later Libby is paroled and is pursued by Travis Lehman (her parole officer) as she sets out to find her son and settle the score with Nick.,Murder isn't always a crime.,70000000,177841558,6.605,1382,9,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,3
Renfield,2023,93,"Nicholas Hoult, Nicolas Cage, Awkwafina",6.4,53.0,114119,17297895.0,"Renfield, Dracula's tortured henchman, is forced to capture prey for his master and do his every bidding. But now, after centuries of servitude, Renfield is ready to see if there is a life outside his boss's shadow.",Sucks to be him.,65000000,26874347,6.477,1919,4,14,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,13
Valkyrie,2008,121,"Tom Cruise, Bill Nighy, Carice van Houten",7.1,56.0,267657,83077833.0,"In Nazi Germany during World War II, as the tide turned in favor of the Allies, a cadre of senior German officers and politicians desperately plot to topple the Nazi regime before the nation is crushed in a nearly inevitable defeat. To this end, Colonel Claus von Stauffenberg, an Army officer convinced he must save Germany from Adolf Hitler, is recruited to mastermind a real plan. To do so, he arranges for the internal emergency measure, Operation: Valkyrie, to be changed to enable his fellows to seize control of Berlin after the assassination of Der Führer. However, even as the plan is put into action, a combination of bad luck and human failings conspire on their own to create a tragedy that would prolong the greater one gripping Europe.",Many saw evil. They dared to stop it.,75000000,200276000,6.948,3843,12,25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,3,11
Daddy's Home 2,2017,100,"Will Ferrell, Mark Wahlberg, Mel Gibson",6.0,30.0,88662,104029443.0,"After burying the hatchet in Daddy's Home (2015), the stepfather with a heart of gold, Brad, and the kids' biological dad with the perfect six-pack, Dusty, are now proud co-dads, working in unison to care for Megan and Dylan. This year, with Christmas just around the corner, the once-incompatible parents and their families decide to spend the holidays together; however, things will take a turn for the unexpected when Dusty's alpha-dad, Kurt, and Brad's touchy-feely father, Don, decide to pay a visit. Now--as the merry holidaymakers end up in a snow-capped cabin for a week--it seems that there's no escape from an impending Yuletide disaster unless the two pairs of fathers learn how to coexist and work together for the sake of the kids. Will things work out in the end? Can the four daddies save Christmas?",More Daddies. More Problems.,69000000,180613180,6.3,2618,11,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,8
National Treasure: Book of Secrets,2007,124,"Nicolas Cage, Diane Kruger, Justin Bartha",6.5,48.0,261790,219964115.0,"Several years since Benjamin Franklin Gates (Nicolas Cage) found the Knight's Templar and became rich and famous. Now, another treasure hunter named Mitch Wilkinson (Ed Harris) has found what is a missing page of the diary of John Wilkes Booth, which contains clues to the location of a lost city of gold, Ben must compete against Mitch to find the lost city, he goes to France and Great Britain to find other clues and even peak inside the President's secret book to put the pieces of the puzzle together, his parents and his friends also help Ben find the lost city and to stay one step ahead of Mitch.",The greatest adventure history has ever revealed.,130000000,459200000,6.362,5288,12,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,5
